TICKER,CUSIP,OFTIC,CNAME,PENDS,MEASURE,PDICITY,ANNDATS,VALUE
0001,26878510,EPEGQ,EP ENGR CORP,20191231,EPS,QTR,20200325,
000V,28249U10,EIGR,EIGER,20210930,EPS,QTR,20211104,-0.65
000V,28249U10,EIGR,EIGER,20210331,EPS,QTR,20210506,-0.51
000V,28249U10,EIGR,EIGER,20201231,EPS,QTR,20210309,-0.57
000V,28249U10,EIGR,EIGER,20210630,EPS,QTR,20210805,-0.57
000V,28249U10,EIGR,EIGER,20191231,EPS,QTR,20200313,-0.68
000V,28249U10,EIGR,EIGER,20220630,EPS,QTR,20220804,-0.51
000V,28249U10,EIGR,EIGER,20200630,EPS,QTR,20200806,-0.6
000V,28249U10,EIGR,EIGER,20200930,EPS,QTR,20201105,-0.52
000V,28249U10,EIGR,EIGER,20200331,EPS,QTR,20200507,-0.62
000V,28249U10,EIGR,EIGER,20220331,EPS,QTR,20220505,-0.64
000V,28249U10,EIGR,EIGER,20211231,EPS,QTR,20220310,-0.64
000Y,90400D10,RARE,ULTRAGENYX,20200630,EPS,QTR,20200730,0.41
000Y,90400D10,RARE,ULTRAGENYX,20201231,EPS,QTR,20210211,-0.37
000Y,90400D10,RARE,ULTRAGENYX,20191231,EPS,QTR,20200213,-1.62
000Y,90400D10,RARE,ULTRAGENYX,20220331,EPS,QTR,20220505,-2.19
000Y,90400D10,RARE,ULTRAGENYX,20210630,EPS,QTR,20210802,-1.81
000Y,90400D10,RARE,ULTRAGENYX,20210930,EPS,QTR,20211102,-1.08
000Y,90400D10,RARE,ULTRAGENYX,20200930,EPS,QTR,20201027,-1.13
000Y,90400D10,RARE,ULTRAGENYX,20210331,EPS,QTR,20210504,-2.03
000Y,90400D10,RARE,ULTRAGENYX,20220630,EPS,QTR,20220728,-2.26
000Y,90400D10,RARE,ULTRAGENYX,20200331,EPS,QTR,20200506,-1.91
000Y,90400D10,RARE,ULTRAGENYX,20211231,EPS,QTR,20220210,-1.79
001A,81776310,SESN,SESEN BIO,20220331,EPS,QTR,20220509,0
001A,81776310,SESN,SESEN BIO,20220630,EPS,QTR,20220808,-0.16
001A,81776310,SESN,SESEN BIO,20210930,EPS,QTR,20211108,0.36
001A,81776310,SESN,SESEN BIO,20200630,EPS,QTR,20200810,-0.24
001A,81776310,SESN,SESEN BIO,20211231,EPS,QTR,20220228,0.04
001A,81776310,SESN,SESEN BIO,20210331,EPS,QTR,20210510,-0.35
001A,81776310,SESN,SESEN BIO,20191231,EPS,QTR,20200316,-0.32
001A,81776310,SESN,SESEN BIO,20200331,EPS,QTR,20200511,0.31
001A,81776310,SESN,SESEN BIO,20201231,EPS,QTR,20210315,-0.11
001A,81776310,SESN,SESEN BIO,20210630,EPS,QTR,20210809,-0.15
001A,81776310,SESN,SESEN BIO,20200930,EPS,QTR,20201109,-0.19
001J,49926D10,KN,KNOWLES,20200630,EPS,QTR,20200729,-0.01
001J,49926D10,KN,KNOWLES,20210630,EPS,QTR,20210728,0.31
001J,49926D10,KN,KNOWLES,20210331,EPS,QTR,20210422,0.29
001J,49926D10,KN,KNOWLES,20220331,EPS,QTR,20220428,0.35
001J,49926D10,KN,KNOWLES,20201231,EPS,QTR,20210204,0.38
001J,49926D10,KN,KNOWLES,20200331,EPS,QTR,20200504,0.03
001J,49926D10,KN,KNOWLES,20211231,EPS,QTR,20220209,0.48
001J,49926D10,KN,KNOWLES,20220630,EPS,QTR,20220802,0.33
001J,49926D10,KN,KNOWLES,20200930,EPS,QTR,20201029,0.24
001J,49926D10,KN,KNOWLES,20210930,EPS,QTR,20211027,0.45
001J,49926D10,KN,KNOWLES,20191231,EPS,QTR,20200204,0.35
001K,45780R10,IBP,IBP,20210630,EPS,QTR,20210805,1.59
001K,45780R10,IBP,IBP,20200630,EPS,QTR,20200806,1.12
001K,45780R10,IBP,IBP,20201231,EPS,QTR,20210224,1.23
001K,45780R10,IBP,IBP,20200331,EPS,QTR,20200508,0.78
001K,45780R10,IBP,IBP,20200930,EPS,QTR,20201105,1.21
001K,45780R10,IBP,IBP,20191231,EPS,QTR,20200227,0.92
001K,45780R10,IBP,IBP,20210331,EPS,QTR,20210507,0.9
001K,45780R10,IBP,IBP,20210930,EPS,QTR,20211104,1.49
001K,45780R10,IBP,IBP,20220331,EPS,QTR,20220505,1.54
001K,45780R10,IBP,IBP,20211231,EPS,QTR,20220224,1.42
001K,45780R10,IBP,IBP,20220630,EPS,QTR,20220804,2.48
001L,20602210,CNCE,CONCERT PHARMA,20191231,EPS,QTR,20200227,-0.86
001L,20602210,CNCE,CONCERT PHARMA,20200630,EPS,QTR,20200806,-0.41
001L,20602210,CNCE,CONCERT PHARMA,20201231,EPS,QTR,20210225,-0.69
001L,20602210,CNCE,CONCERT PHARMA,20220630,EPS,QTR,20220804,-0.59
001L,20602210,CNCE,CONCERT PHARMA,20211231,EPS,QTR,20220303,-1.01
001L,20602210,CNCE,CONCERT PHARMA,20210630,EPS,QTR,20210805,0.16
001L,20602210,CNCE,CONCERT PHARMA,20210930,EPS,QTR,20211109,-0.78
001L,20602210,CNCE,CONCERT PHARMA,20210331,EPS,QTR,20210504,-0.67
001L,20602210,CNCE,CONCERT PHARMA,20220331,EPS,QTR,20220505,-1.03
001L,20602210,CNCE,CONCERT PHARMA,20200331,EPS,QTR,20200430,-0.7
001L,20602210,CNCE,CONCERT PHARMA,20200930,EPS,QTR,20201105,-0.6
001M,45780L10,INGN,INOGEN,20201231,EPS,QTR,20210224,-0.23
001M,45780L10,INGN,INOGEN,20200630,EPS,QTR,20200804,0.12
001M,45780L10,INGN,INOGEN,20220331,EPS,QTR,20220505,-0.62
001M,45780L10,INGN,INOGEN,20211231,EPS,QTR,20220224,-1.01
001M,45780L10,INGN,INOGEN,20210930,EPS,QTR,20211104,0.53
001M,45780L10,INGN,INOGEN,20200930,EPS,QTR,20201104,-0.08
001M,45780L10,INGN,INOGEN,20210630,EPS,QTR,20210804,0.22
001M,45780L10,INGN,INOGEN,20191231,EPS,QTR,20200225,-0.06
001M,45780L10,INGN,INOGEN,20200331,EPS,QTR,20200505,-0.07
001M,45780L10,INGN,INOGEN,20210331,EPS,QTR,20210504,-0.03
001M,45780L10,INGN,INOGEN,20220630,EPS,QTR,20220804,-0.15
001N,74911910,QUOT,QUOTIENT TECH,20211231,EPS,QTR,20220209,0.03
001N,74911910,QUOT,QUOTIENT TECH,20210930,EPS,QTR,20211103,-0.08
001N,74911910,QUOT,QUOTIENT TECH,20220630,EPS,QTR,20220809,-0.45
001N,74911910,QUOT,QUOTIENT TECH,20210630,EPS,QTR,20210805,-0.16
001N,74911910,QUOT,QUOTIENT TECH,20210331,EPS,QTR,20210505,-0.15
001N,74911910,QUOT,QUOTIENT TECH,20220331,EPS,QTR,20220504,
001N,74911910,QUOT,QUOTIENT TECH,20200930,EPS,QTR,20201105,-0.05
001N,74911910,QUOT,QUOTIENT TECH,20201231,EPS,QTR,20210210,-0.28
001N,74911910,QUOT,QUOTIENT TECH,20200630,EPS,QTR,20200804,-0.21
001N,74911910,QUOT,QUOTIENT TECH,20191231,EPS,QTR,20200212,-0.11
001N,74911910,QUOT,QUOTIENT TECH,20200331,EPS,QTR,20200505,-0.19
001X,75629F10,REPH,RECRO PHARMA,20201231,EPS,QTR,20210226,-0.48
