OFTIC,TICKER,CUSIP,CNAME,PENDS,MEASURE,PDICITY,ANNDATS,VALUE
AA,01AF,01387210,ALCOA CORP,20190331,EPS,QTR,20190417,-0.23
AA,01AF,01387210,ALCOA CORP,20220331,EPS,QTR,20220420,3.06
AA,01AF,01387210,ALCOA CORP,20190630,EPS,QTR,20190717,-0.01
AA,01AF,01387210,ALCOA CORP,20171231,EPS,QTR,20180117,1.04
AA,01AF,01387210,ALCOA CORP,20180930,EPS,QTR,20181017,0.63
AA,01AF,01387210,ALCOA CORP,20200930,EPS,QTR,20201014,-1.17
AA,01AF,01387210,ALCOA CORP,20210630,EPS,QTR,20210715,1.49
AA,01AF,01387210,ALCOA CORP,20200331,EPS,QTR,20200422,-0.23
AA,01AF,01387210,ALCOA CORP,20190930,EPS,QTR,20191016,-0.44
AA,01AF,01387210,ALCOA CORP,20210331,EPS,QTR,20210415,0.79
AA,01AF,01387210,ALCOA CORP,20201231,EPS,QTR,20210120,0.26
AA,01AF,01387210,ALCOA CORP,20220630,EPS,QTR,20220720,2.67
AA,01AF,01387210,ALCOA CORP,20180630,EPS,QTR,20180718,1.52
AA,01AF,01387210,ALCOA CORP,20211231,EPS,QTR,20220119,2.5
AA,01AF,01387210,ALCOA CORP,20210930,EPS,QTR,20211014,2.05
AA,01AF,01387210,ALCOA CORP,20191231,EPS,QTR,20200115,-0.31
AA,01AF,01387210,ALCOA CORP,20200630,EPS,QTR,20200715,-0.02
AA,01AF,01387210,ALCOA CORP,20181231,EPS,QTR,20190116,0.66
AA,01AF,01387210,ALCOA CORP,20180331,EPS,QTR,20180418,0.77
AAIC,FBG1,04135620,ARLINGTON ASSET,20210331,EPS,QTR,20210506,0.03
AAIC,FBG1,04135620,ARLINGTON ASSET,20210630,EPS,QTR,20210803,0.07
AAIC,FBG1,04135620,ARLINGTON ASSET,20220630,EPS,QTR,20220809,0.05
AAIC,FBG1,04135620,ARLINGTON ASSET,20210930,EPS,QTR,20211109,0.06
AAIC,FBG1,04135620,ARLINGTON ASSET,20220331,EPS,QTR,20220512,0.05
AAIC,FBG1,04135620,ARLINGTON ASSET,20201231,EPS,QTR,20210216,0.12
AAIC,FBG1,04135620,ARLINGTON ASSET,20211231,EPS,QTR,20220302,0.02
AAOI,AAOI,03823U10,AOI,20200930,EPS,QTR,20201105,-0.06
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20171231,EPS,QTR,20180221,0.89
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20191231,EPS,QTR,20200227,-0.18
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20200331,EPS,QTR,20200507,-0.44
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20180930,EPS,QTR,20181107,0.14
AAOI,AAOI,03823U10,AOI,20210630,EPS,QTR,20210805,-0.15
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20180331,EPS,QTR,20180508,0.28
AAOI,AAOI,03823U10,AOI,20201231,EPS,QTR,20210225,-0.2
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20190331,EPS,QTR,20190508,-0.27
AAOI,AAOI,03823U10,AOI,20211231,EPS,QTR,20220224,-0.2
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20190630,EPS,QTR,20190807,-0.26
AAOI,AAOI,03823U10,AOI,20220331,EPS,QTR,20220505,-0.29
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20180630,EPS,QTR,20180807,0.64
AAOI,AAOI,03823U10,AOI,20220630,EPS,QTR,20220804,-0.28
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20181231,EPS,QTR,20190221,-0.02
AAOI,AAOI,03823U10,AOI,20210331,EPS,QTR,20210506,-0.21
AAOI,AAOI,03823U10,AOI,20200630,EPS,QTR,20200806,-0.24
AAOI,AAOI,03823U10,APPLIED OPTOELEC,20190930,EPS,QTR,20191106,-0.15
AAOI,AAOI,03823U10,AOI,20210930,EPS,QTR,20211104,-0.2
AAON,AAON,00036020,AAON,20200630,EPS,QTR,20200806,0.34
AAON,AAON,00036020,AAON,20220630,EPS,QTR,20220808,0.3
AAON,AAON,00036020,AAON,20180930,EPS,QTR,20181101,0.27
AAON,AAON,00036020,AAON,20190331,EPS,QTR,20190502,0.21
AAON,AAON,00036020,AAON,20211231,EPS,QTR,20220228,0.18
AAON,AAON,00036020,AAON,20200331,EPS,QTR,20200507,0.41
AAON,AAON,00036020,AAON,20210331,EPS,QTR,20210506,0.3
AAON,AAON,00036020,AAON,20200930,EPS,QTR,20201105,0.38
AAON,AAON,00036020,AAON,20190930,EPS,QTR,20191031,0.26
