TICKER,CUSIP,EDATE,LFRI,PrePRC,OpmPRC,PostPRC,ANNDATS
000R,14163310,2018-02-27,2018-02-23,18.77,18.56,17.4,20180227
000R,14163310,2019-03-07,2019-03-01,24.17,25.54,22.8,20190307
000R,14163310,2018-05-08,2018-05-04,15.86,15.63,18.92,20180508
000R,14163310,2019-05-09,2019-05-03,16.32,16.4,14.94,20190509
000R,14163310,2019-11-06,2019-11-01,11.96,12.02,12.35,20191106
000R,14163310,2018-11-08,2018-11-02,18.0,18.1,18.85,20181108
000R,14163310,2019-08-06,2019-08-02,10.22,10.71,7.73,20190806
000R,14163310,2018-07-30,2018-07-27,20.76,20.76,17.35,20180730
000V,28249U10,2018-08-10,2018-08-03,9.85,9.85,9.6,20180810
000V,28249U10,2018-05-11,2018-05-04,9.25,8.5,10.0,20180511
000V,28249U10,2020-03-13,2020-03-06,5.6,8.45,5.91,20200313
000V,28249U10,2018-11-09,2018-11-02,11.63,12.21,10.91,20181109
001A,81776310,2021-05-10,2021-05-07,2.67,2.67,2.39,20210510
001A,81776310,2020-08-10,2020-08-07,1.0,1.0,1.06,20200810
001A,81776310,2021-03-15,2021-03-12,2.86,2.86,2.84,20210315
001A,81776310,2020-03-16,2020-03-13,0.6321,0.6321,0.455,20200316
001A,81776310,2019-11-12,2019-11-08,1.12,1.135,1.14,20191112
001A,81776310,2020-05-11,2020-05-08,0.8074,0.8074,0.7057,20200511
001A,81776310,2018-08-14,2018-08-10,1.88,1.79,1.89,20180814
001A,81776310,2020-11-09,2020-11-06,1.03,1.03,1.11,20201109
001A,81776310,2018-11-08,2018-11-02,1.54,1.6,1.86,20181108
001K,45780R10,2019-02-28,2019-02-22,45.46,46.53,43.62,20190228
001K,45780R10,2021-02-24,2021-02-19,122.92,126.63,112.3,20210224
001K,45780R10,2021-05-07,2021-04-30,137.92,134.64999,127.57,20210507
001K,45780R10,2019-08-08,2019-08-02,53.76,52.89,55.53,20190808
001K,45780R10,2020-02-27,2020-02-21,69.67,79.14,68.81,20200227
001K,45780R10,2018-02-28,2018-02-23,68.0,66.55,59.75,20180228
001K,45780R10,2020-05-08,2020-05-01,51.82,46.66,55.34,20200508
001K,45780R10,2018-11-01,2018-10-26,30.46,29.94,35.28,20181101
001K,45780R10,2018-08-02,2018-07-27,54.1,53.0,52.5,20180802
001K,45780R10,2018-05-03,2018-04-27,57.05,59.6,57.1,20180503
001K,45780R10,2020-08-06,2020-07-31,84.65,79.11,85.0,20200806
001K,45780R10,2020-11-05,2020-10-30,102.97,90.54,101.25,20201105
001K,45780R10,2019-05-02,2019-04-26,48.43,47.6,53.12,20190502
001K,45780R10,2019-11-01,2019-10-25,65.22,63.83,75.7,20191101
001L,20602210,2021-02-25,2021-02-19,6.85,7.07,6.87,20210225
001L,20602210,2020-04-30,2020-04-24,11.34,11.42,9.98,20200430
001L,20602210,2020-11-05,2020-10-30,10.69,10.32,10.9,20201105
001L,20602210,2020-08-06,2020-07-31,9.56,9.27,9.35,20200806
001L,20602210,2021-05-04,2021-04-30,4.17,4.15,3.87,20210504
001L,20602210,2019-02-28,2019-02-22,15.0,14.56,15.19,20190228
001L,20602210,2018-11-01,2018-10-26,14.92,15.01,14.66,20181101
001L,20602210,2018-05-03,2018-04-27,18.37,18.7,19.68,20180503
001L,20602210,2018-03-01,2018-02-23,21.88,21.75,21.04,20180301
001L,20602210,2020-02-27,2020-02-21,10.92,11.05,10.18,20200227
001L,20602210,2018-08-02,2018-07-27,16.11,16.22,17.52,20180802
001L,20602210,2019-11-07,2019-11-01,6.4,6.5,6.4,20191107
001L,20602210,2019-08-01,2019-07-26,10.06,10.41,10.94,20190801
001L,20602210,2019-05-02,2019-04-26,10.19,10.15,9.96,20190502
001M,45780L10,2019-08-07,2019-08-02,55.18,58.75,42.32,20190807
001X,75629F10,2019-02-19,2019-02-15,8.67,8.67,8.68,20190219
001X,75629F10,2019-08-08,2019-08-02,9.75,9.43,10.87,20190808
001X,75629F10,2018-11-07,2018-11-02,7.11,7.0,7.29,20181107
001X,75629F10,2018-02-27,2018-02-23,8.91,8.56,8.92,20180227
001X,75629F10,2020-08-10,2020-08-07,4.4,4.4,3.34,20200810
