TICKER,PERMNO,ANNDATS,RET,PRC,VOL,RET_1,PRC_1
AA,24643.0,20190417.0,-0.036750,19.92,10358000.0,0.006024,20.04
AA,24643.0,20220420.0,,,,,
AA,24643.0,20190717.0,-0.018619,25.3,1961842.0,-0.006324,25.14
AA,24643.0,20180117.0,0.004275,30.54,3226006.0,-0.006221,30.35
AA,24643.0,20181017.0,0.014872,22.52,3538424.0,-0.021758,22.03
AA,24643.0,20201014.0,0.022969,18.26,1328491.0,0.013143,18.5
AA,24643.0,20210715.0,,,,,
AA,24643.0,20200422.0,0.022663,10.83,2777759.0,0.015697,11.0
AA,24643.0,20191016.0,-0.012563,27.51,2876763.0,0.006907,27.7
AA,24643.0,20210415.0,,,,,
AA,24643.0,20210120.0,,,,,
AA,24643.0,20220720.0,,,,,
AA,24643.0,20180718.0,0.022869,19.68,6410565.0,-0.025915,19.17
AA,24643.0,20220119.0,,,,,
AA,24643.0,20211014.0,,,,,
AA,24643.0,20200115.0,-0.013185,29.19,2462158.0,0.027749,30.0
AA,24643.0,20200715.0,0.064372,16.7,3045275.0,-0.029940,16.2
AA,24643.0,20190116.0,0.001495,20.1,5559295.0,0.003980,20.18
AA,24643.0,20180418.0,-0.002947,23.68,2726840.0,-0.006334,23.53
AA,24643.0,20190417.0,-0.036750,19.92,10358000.0,0.006024,20.04
AA,24643.0,20220420.0,,,,,
AA,24643.0,20190717.0,-0.018619,25.3,1961842.0,-0.006324,25.14
AA,24643.0,20180117.0,0.004275,30.54,3226006.0,-0.006221,30.35
AA,24643.0,20181017.0,0.014872,22.52,3538424.0,-0.021758,22.03
AA,24643.0,20201014.0,0.022969,18.26,1328491.0,0.013143,18.5
AA,24643.0,20210715.0,,,,,
AA,24643.0,20200422.0,0.022663,10.83,2777759.0,0.015697,11.0
AA,24643.0,20191016.0,-0.012563,27.51,2876763.0,0.006907,27.7
AA,24643.0,20210415.0,,,,,
AA,24643.0,20210120.0,,,,,
AA,24643.0,20220720.0,,,,,
AA,24643.0,20180718.0,0.022869,19.68,6410565.0,-0.025915,19.17
AA,24643.0,20220119.0,,,,,
