TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
0001,14392,26878510,20140220,20190522,1
0001,,,20190620,,6
000R,14378,14163310,20140220,20200210,1
000V,14423,15117E10,20140320,20160322,1
000V,14423,28249U10,20160414,20220331,1
000Y,14436,90400D10,20140320,20220331,1
0018,14455,28226B10,20140320,20180918,1
0018,,,20181115,,6
001A,14452,28622110,20140320,20180516,1
001A,14452,81776310,20180517,20220331,1
001J,14487,49926D10,20140320,20220331,1
001K,14479,45780R10,20140320,20220331,1
001L,14451,20602210,20140320,20220331,1
001M,14459,45780L10,20140320,20220331,1
001N,14504,22265J10,20140320,20151020,1
001N,14504,74911910,20151119,20220331,1
001X,14550,75629F10,20140320,20220331,1
001X,,,20220414,,6
002G,14502,14862Q10,20140417,20220216,1
002J,14547,70438V10,20140417,20220331,1
002L,14499,02318Y10,20140417,20190701,1
002P,14495,00212110,20140417,20220331,1
002S,14574,60786M10,20140515,20220331,1
002T,14503,14987J10,20140515,20141119,1
002T,14503,69007J10,20141120,20220331,1
0031,14594,21887L10,20140515,20181126,1
0039,14573,50420D10,20140515,20180530,1
003A,14589,00548A10,20140515,20211123,1
003G,14615,92847R10,20140515,20190414,1
003G,14615,4525EP10,20190418,20220331,1
003H,14579,70432V10,20140515,20220331,1
003K,14603,71742Q10,20140515,20220331,1
0041,14608,78573M10,20140619,20220331,1
0045,14634,70187710,20140619,20210112,1
004F,14617,04014Y10,20140619,20181125,1
004F,14617,03990B10,20181220,20220331,1
004W,14714,04041310,20140619,20220331,1
0051,14641,98936J10,20140619,20220331,1
0055,14677,89785L10,20140619,20220331,1
005H,14625,42727J10,20140619,20220331,1
005I,14645,00847L10,20140619,20220331,1
005I,,,20220519,,6
006J,14697,60739U20,20140717,20201130,1
006W,14716,15650430,20140717,20220331,1
006X,14694,38268T10,20140717,20220331,1
0070,14707,75046920,20140717,20220331,1
0075,14688,03209R10,20140814,20220331,1
007X,14750,81761R10,20140814,20201004,1
007X,14750,88087E10,20201015,20220331,1
008A,14828,78667J10,20140814,20220331,1
008J,14778,89223110,20140918,20220331,1
0090,14851,30255G10,20140918,20181231,1
0097,14870,39260X10,20140918,20181231,1
0098,14759,00790R10,20140918,20220331,1
009J,14874,68906L10,20140918,20220331,1
00AI,14556,29272C10,20141016,20220331,1
